name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Cultus Creek,South Cascades -- Mount Adams Area,"4.0 miles, roundtrip",1100,5100,2.67,Lakes,"The trail climbs sharply through a forest of Douglas fir for a mile to a view of the Goat Rocks, Sawtooth Mountain, Mount Rainier, and Mount Adams. From this viewpoint you get a great view of Mount Adams and the Goat Rocks. It's worth bringing a camera for this one.",roundtrip,4,South Cascades
Cramer Mountain Loop,South Cascades -- White Pass/Cowlitz River Valley,"14.0 miles, roundtrip",1800,6000,3.00,Wildflowers/Meadows|Wildlife|Lakes|Fall foliage,"This is a hike of sounds and smells of the forest, with limited vistas and lots of lakes. With easy access from White Pass, it can be done in any season as a hike or snow trip.",roundtrip,14,South Cascades
Craggy Peak,South Cascades -- Dark Divide,"11.0 miles, roundtrip",1800,5275,3.17,Wildflowers/Meadows|Mountain views|Old growth|Ridges/passes,"The Craggy Peak Trail is a beautiful, albeit difficult hike located in one of Washington's least recognized areas: the Dark Divide. Nestled between imposing St. Helens to the west, Adams to the east, and Rainier to the north, the Craggy Peak Trail boasts spectacular views of the surrounding snowy peaks. Because of some necessary bushwhacking, this is quite a difficult hike, yet is doable in a day.",roundtrip,11,South Cascades
Cramer Lake Snowshoe,South Cascades -- White Pass/Cowlitz River Valley,"7.0 miles, roundtrip",840,5080,4.00,Mountain views|Old growth|Lakes|Dogs allowed on leash,"Nestled between Spiral Butte and Cramer Mountain on the Tumac Plateau, Cramer Lake draws experienced snowshoers north into the backcountry for peace and solitude just east of White Pass. Although the distance is moderate, a section of steep terrain and creek crossings can make for an adventuresome outing.",roundtrip,7,South Cascades
Cramer Lake,South Cascades -- White Pass/Cowlitz River Valley,"3.4 miles, one-way",950,5067,3.00,Wildflowers/Meadows|Wildlife|Established campsites|Dogs allowed on leash|Old growth|Good for kids|Lakes,"The south end of the William O. Douglas Wilderness is rolling country swathed in mature forest that is interrupted by dozens of named, and many more unnamed, lakes. A visit to scenic Cramer Lake, with its clear water, good fishing, and comfortable campsites will leave you wanting to explore deeper into the Tumac Plateau.",one-way,6.8,South Cascades
Danville-Georgetown Trail System,Puget Sound and Islands -- Seattle-Tacoma Area,30.0 miles of trails,200,800,0.00,Good for kids|Fall foliage|Rivers,The Danville-Georgetown Open Space is a greenspace habitat offering a multi-use trail network through a working forest in King County's Maple Valley.,trails,30,Puget Sound and Islands
Corral Pass Snowshoe,Mount Rainier Area -- Chinook Pass - Hwy 410,"11.5 miles, roundtrip",2800,5700,0.00,Wildflowers/Meadows|Mountain views|Summits,"This is a snowshoe hike that follows Corral Pass Road, starting at the intersection with highway 410.",roundtrip,11.5,Mount Rainier Area
Angel Falls Loop,South Cascades -- White Pass/Cowlitz River Valley,"3.4 miles, roundtrip",1100,2300,3.00,Old growth|Rivers|Good for kids|Dogs allowed on leash|Waterfalls,"Covel Creek trail is a very short, one mile trail with only 50 feet of elevation gain. Hikers can travel through dense forest to a small waterfall, but there is an option to continue on the Angel Falls Loop, which creates a figure-eight, making this longer hike about 4 miles roundtrip.",roundtrip,3.4,South Cascades
Cowen and Ravenna Parks,Puget Sound and Islands -- Seattle-Tacoma Area,"4.5 miles, roundtrip",115,200,2.67,Wildflowers/Meadows|Wildlife|Old growth|Good for kids|Dogs allowed on leash|Fall foliage,"Cowen and Ravenna Parks form a contiguous urban nature area and green space, containing Ravenna Ravine and Ravenna Creek, in the middle of North Seattle. They contain 4.5 miles of trails that traverse a 0.75-mile stretch of Ravenna Ravine.",roundtrip,4.5,Puget Sound and Islands
Crofton Butte,South Cascades -- Mount Adams Area,"4.0 miles, roundtrip",600,4750,2.75,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Good for kids,"This quiet trail will lead you alongside Crofton Ridge and through the Mount Adams Wilderness. In the spring, lupine flowers welcome you into an area still recovering from a 2015 wildfire. Later in the summer, you can fill up on ripe blueberries and tiny wild strawberries.",roundtrip,4,South Cascades
Dalles Ridge,Mount Rainier Area -- Chinook Pass - Hwy 410,"1.8 miles, roundtrip",200,5700,4.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits,Dalles Ridge is the primary way that hikers access the popular Noble Knob Trail and Ranger Creek. It provides hikers with a beautiful ridge walk after a steady climb from the trailhead.,roundtrip,1.8,Mount Rainier Area
County Line,Snoqualmie Region -- Salmon La Sac/Teanaway,"10.0 miles, roundtrip",1875,5700,3.20,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes,A multi-use trail connecting with the Teanaway Ridge Trail and continuing on to Miller Peak.,roundtrip,10,Snoqualmie Region
Cussed Hollow,Southwest Washington -- Lewis River Region,"5.0 miles, roundtrip",600,3400,5.00,Dogs not allowed|Old growth|Wildlife|Rivers,"Trekking quietly is easy on this gentle woodland trail, allowing you to take advantage of prime wildlife spotting.",roundtrip,5,Southwest Washington
Cougar Lakes,Mount Rainier Area -- Chinook Pass - Hwy 410,"12.0 miles, roundtrip",1700,5400,2.57,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Lakes|Rivers,"Ford a river, climb through forest and end at two lakes in the heart of a wilderness area -- Cougar Lake is a gorgeous respite for hikers in the William O. Douglas wilderness.",roundtrip,12,Mount Rainier Area
Snowgrass - Cispus Basin - Nannie Ridge Loop,South Cascades -- Goat Rocks,"19.6 miles, roundtrip",3000,6400,3.86,Ridges/passes|Lakes|Rivers|Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Fall foliage,"A broad expanse of meadow blooms with a lovely waterfall, while the Goat Rocks loom overhead and Mount Adams feels close enough to touch to the south.",roundtrip,19.6,South Cascades
Chybinski Loop,Issaquah Alps -- Squak Mountain,"7.7 miles, roundtrip",2100,1800,3.50,Mountain views|Dogs allowed on leash|Fall foliage|Rivers,"The Chybinski Loop is located in the Cougar/Squak Mountain Corridor, and has many connecting trails and loop options.",roundtrip,7.7,Issaquah Alps
Columbia Hills State Park - Horsethief Butte,Southwest Washington -- Columbia River Gorge - WA,"12.4 miles, roundtrip",1870,1975,3.80,Wildflowers/Meadows|Mountain views|Wildlife|Summits|Good for kids|Dogs allowed on leash|Rivers,"This natural preserve managed by the Washington State Department of Natural Resources (DNR) is a huge 6000-acre area along the top portion of the long rolling hills and ridges known as the Columbia Hills, extending from The Dalles Mountain area westward.",roundtrip,12.4,Southwest Washington
Cooper River,Snoqualmie Region -- Salmon La Sac/Teanaway,"7.8 miles, roundtrip",400,2800,3.36,Wildlife|Lakes|Rivers|Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Old growth|Good for kids|Fall foliage,"Kids will love this hike because there’s so much to see: a rushing river, a lush old-growth forest dotted with wildflowers and, if you’re lucky, plenty of wildlife.",roundtrip,7.8,Snoqualmie Region
Coleman Weedpatch,South Cascades -- Goat Rocks,9.0 miles of trails,1900,5712,2.60,Wildflowers/Meadows|Mountain views,"This long day hike heads to an overlook visible from Walupt Lake, but you have to invest a few hours of uphill hiking to access it. But the climb is worth it; from the top, you get peek-a-book views of Mounts Adams, Rainier, and St. Helens, as well as the Goat Rocks, Walupt Lake, and the expansive green valley that is the Coleman Weedpatch.",trails,9,South Cascades
Chopper Peak,Central Washington -- Wenatchee,"3.0 miles, roundtrip",1440,2400,3.00,Summits|Rivers,"A quick hike up to a summit outside of Wenatchee with views of the Columbia River, Horse Lake Mountain, Mission Ridge, and the Enchantments.",roundtrip,3,Central Washington
Coal Mines Trail,Snoqualmie Region -- Cle Elum Area,"4.7 miles, one-way",453,2375,0.00,Dogs allowed on leash|Good for kids,"The Coal Mines trail is a mellow hike from Cle Elum, through Roslyn and on to Ronald with views of many different coal mining remains. This trail is great for hiking, biking, horseback riding, and running.",one-way,9.4,Snoqualmie Region
Coal Creek Trail,Issaquah Alps -- Cougar Mountain,"6.0 miles, roundtrip",550,600,3.28,Dogs allowed on leash|Good for kids|Waterfalls,"Rich in historical artifacts, lush foliage, wooden bridges, and waterfalls, the well-groomed and well-traveled Coal Creek Trail is a satisfying hike for families, trail runners, history buffs, and avid hikers.",roundtrip,6,Issaquah Alps
Cold Creek Loop via Tinkham and Silver Peaks,Snoqualmie Region -- Snoqualmie Pass,"8.0 miles, roundtrip",2600,4500,3.62,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash|Established campsites|Mountain views|Lakes|Fall foliage,"This loop takes you past two clear and calm lakes, up a steep, brushy trail to the beautifully manicured Pacific Crest Trail, then west under the blocky granite summit of Tinkham Peak and the shining pyramid of Silver Peak before dropping to Windy Pass.",roundtrip,8,Snoqualmie Region
Cispus Braille Trail,South Cascades -- Dark Divide,"0.6 miles, roundtrip",80,1388,2.75,Wildflowers/Meadows|Old growth|Good for kids|Wildlife|Rivers,The Trail for The Blind is a level grade trail adjacent to the Cispus Learning Center in foothills of the Cowlitz Valley. It is a part of the Covel Creek Trail System and is designed to allow easier access and highlight natural features in the forest for those who are visually challenged. This is also a great hike smaller children and those with less mobility.,roundtrip,0.6,South Cascades
Clear West Peak,Mount Rainier Area -- Chinook Pass - Hwy 410,"2.0 miles, roundtrip",900,5400,2.25,Mountain views|Wildlife|Good for kids|Dogs allowed on leash,The trail up Clear West Peak is inaccessible due to Road 74 being blocked and gated.,roundtrip,2,Mount Rainier Area
Coal Pass Snowshoe,North Cascades -- Mount Baker Area,"10.0 miles, roundtrip",2400,4500,2.50,Mountain views|Ridges/passes,"Following a series of winding, snow-covered forest roads, the route to Coal Pass culminates in sweeping views of Mount Baker’s glaciated northwest flank.",roundtrip,10,North Cascades
Griffiths-Priday State Park - Copalis River Spit,Southwest Washington -- Long Beach Area,"4.0 miles, roundtrip",40,25,4.00,Wildlife|Coast|Good for kids|Dogs allowed on leash|Rivers,"On a stretch of Washington coast known for its beach-driving, Griffiths-Priday State Park is a welcome respite for walkers. The natural spit features low sand dunes that are protected as a wildlife refuge bordered by Conner Creek on one side and the Copalis River on the other.",roundtrip,4,Southwest Washington
Colonel Bob Trail - Colonel Bob Peak,Olympic Peninsula -- Pacific Coast,"14.0 miles, roundtrip",4292,4492,4.00,Mountain views|Old growth|Summits|Wildlife|Established campsites,"Start at 200 feet above sea level and climb to a lofty, scenic peak of 4492 feet on a long, switchbacking trail through stunning old growth forest. WTA has done a lot of work on this trail to improve it after a huge storm in 2007.",roundtrip,14,Olympic Peninsula
Church Creek,Olympic Peninsula -- Olympia,"6.4 miles, roundtrip",2300,3200,3.00,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash|Waterfalls|Old growth|Lakes|Rivers,"With wildflowers at your feet, wander among old-growth giants on this off-the-beaten-path trail on the southeastern side of the Olympics.",roundtrip,6.4,Olympic Peninsula
CCC Road: Upper Trailhead,Snoqualmie Region -- North Bend Area,"6.8 miles, roundtrip",400,1450,3.33,Old growth|Rivers,"The upper section of the CCC Road is just adjacent to the Middle Fork Road. Hiking this way, you'll avoid the somewhat confusing lower section, where DNR and private property bump up against each other. Here the trail is on National Forest land, so you'll need a Northwest Forest Pass, but the 3.4 miles to the Middle Fork Campground pass through uninterrupted quiet forest, creeks, and lovely views of the nearby peaks.",roundtrip,6.8,Snoqualmie Region
Cascade Trail,Puget Sound and Islands -- Bellingham Area,"22.5 miles, one-way",60,230,2.50,Dogs allowed on leash|Good for kids|Rivers,"This 22.5-mile rail trail follows the abandoned Burlington Northern grade connecting the towns of Sedro Woolley and Concrete, and can be accessed from three trailheads off of the North Cascades Highway.",one-way,45,Puget Sound and Islands
Chambers Bay Loop,Puget Sound and Islands -- Seattle-Tacoma Area,"3.25 miles, roundtrip",315,234,4.71,Mountain views|Wildlife|Good for kids|Dogs allowed on leash|Coast,"This loop combines the Grandview Trail with the Soundview Trail to make 3.25 miles with some serious incline. Walk around the golf course at Chambers Creek Regional Park, and enjoy views of Chambers Bay and the vivid green grasses of the golf course.",roundtrip,3.25,Puget Sound and Islands
Cape Horn,Southwest Washington -- Columbia River Gorge - WA,"7.2 miles, roundtrip",1300,1350,3.89,Wildflowers/Meadows|Mountain views|Wildlife|Waterfalls|Old growth|Fall foliage|Rivers,"This rugged hike is bound to become a classic, if it isn’t already. The full trail loop provides fantastic views of the Columbia River Gorge, an intimate look at the Cape Horn Falls and a challenging workout as it climbs and descends the rocky slopes of Cape Horn.",roundtrip,7.2,Southwest Washington
Camp Long,Puget Sound and Islands -- Seattle-Tacoma Area,"1.6 miles, roundtrip",240,350,3.57,Wildflowers/Meadows|Wildlife|Established campsites|Good for kids|Dogs allowed on leash|Fall foliage,"Camp Long is a hidden gem, a 68-acre enclave in West Seattle featuring old growth forest, wildlife, a variety of hiking trails, rock climbing, ropes courses, camping, and environmental education.",roundtrip,1.6,Puget Sound and Islands
Coyote Wall - The Labyrinth Loop,Southwest Washington -- Columbia River Gorge - WA,"7.7 miles, roundtrip",1200,1250,4.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Rivers|Waterfalls,"This year-round hike offers great views of the Columbia River Gorge along with enchanting stands of oak, cascading waterfalls, dramatic basalt outcroppings, and profuse wildflowers in the spring. Often sunny here while raining in Vancouver, it is a great place to hike while waiting for snow to melt at higher elevations.",roundtrip,7.7,Southwest Washington
Cattle Point Lighthouse,Puget Sound and Islands -- San Juan Islands,"0.5 miles, roundtrip",25,25,5.00,Dogs allowed on leash|Good for kids|Coast,"Hike a small piece of the new San Juan Islands National Monument! This section of BLM land is one of 75 sections throughout the islands (most are on uninhabited islands) and the site of the Cattle Point Lighthouse. This lighthouse was erected in 1935, but a navigational lantern has stood here since 1888.",roundtrip,0.5,Puget Sound and Islands
Carkeek Park,Puget Sound and Islands -- Seattle-Tacoma Area,"3.5 miles, roundtrip",800,240,3.79,Wildflowers/Meadows|Mountain views|Wildlife|Good for kids|Dogs allowed on leash|Coast,"Explore forest trails along Piper's Creek and adjoining ridges. Visit a Puget Sound beach and enjoy great views across the Sound to the Olympics. In the fall, observe migrating salmon in the creek.",roundtrip,3.5,Puget Sound and Islands
CCC Road: Blowout Creek Trailhead,Snoqualmie Region -- North Bend Area,"7.0 miles, roundtrip",620,1520,2.14,Mountain views|Old growth|Rivers|Dogs allowed on leash|Waterfalls,"The Blowout Creek Trailhead offers a more secluded adventure than the CCC Road: Lower Section, despite its route along an old road. Climb a moderate grade alongside Blowout Creek for almost a mile before arriving at the CCC Road Trail, then hike to a beautiful waterfall.",roundtrip,7,Snoqualmie Region
Cedar River Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"17.4 miles, one-way",820,600,3.62,Rivers,"The Cedar River Trail offers an urban river walk, a more rural river walk along a former rail bed, and a roadside bicycle path connecting the two. Bicycle the entire trail, or select one of many access points to explore the trail on foot.",one-way,34.8,Puget Sound and Islands
CCC Road: Lower Trailhead,Snoqualmie Region -- North Bend Area,"8.0 miles, roundtrip",550,1650,4.00,Old growth|Waterfalls,"The 1930s saw Civilian Conservation Corps (CCC) teams building trail in the woods all over America. The Middle Fork Snoqualmie Road benefited from these efforts, which constructed the CCC Road, a 13.5 mile long route that parallels (roughly) the Middle Fork Snoqualmie Road. The Lower Section can be tricky to navigate, as it borders private property, and signage here can send mixed messages. The trail itself is on DNR land, but be sure to bring an up-to-date map to verify your location as you hike.",roundtrip,8,Snoqualmie Region
Canoe Peak,Snoqualmie Region -- North Bend Area,"3.0 miles, roundtrip",3600,5400,0.00,Mountain views|Summits,"A peak scramble in the Alpine Lakes Wilderness, Canoe Peak is a lesser summit near Lennox Mountain. Previous climbing experience and route-finding skills are recommended for Canoe Peak.",roundtrip,3,Snoqualmie Region
Moran State Park - Cascade Lake,Puget Sound and Islands -- San Juan Islands,"2.7 miles, roundtrip",200,480,3.00,Dogs allowed on leash|Old growth|Good for kids|Lakes,"Cascade Lake provides recreation opportunities for every kind of outdoor enthusiast. The main day-use area offers a picnic area, kitchen shelters, boat launches and rentals, a swimming beach, and fishing. One of the main attractions though is the loop trail that circles the lake. Walk along the shore of the lake and enjoy secluded viewpoints and tall trees.",roundtrip,2.7,Puget Sound and Islands
Cedar Falls Snowshoe,North Cascades -- North Cascades Highway - Hwy 20,"9.6 miles, roundtrip",1350,3570,4.33,Old growth|Rivers|Wildlife|Waterfalls,"The more strenuous winter version of this easy summer hike leads to the overlook of Cedar Falls. In winter, the falls are a snow-topped mound of ice with a flowing creek base.",roundtrip,9.6,North Cascades
Catherine Creek - Natural Arch,Southwest Washington -- Columbia River Gorge - WA,"2.1 miles, roundtrip",250,500,4.00,Wildflowers/Meadows|Dogs allowed on leash|Good for kids|Fall foliage|Rivers,"This family-friendly classic hike has perhaps the most photo ops per mile than any other hike in the Gorge. You can check out a natural rock arch, see a variety of terrain, take in sweeping views of the Columbia River, and enjoy early-spring wildflower displays.",roundtrip,2.1,Southwest Washington
Camp Creek Falls,South Cascades -- White Pass/Cowlitz River Valley,"0.6 miles, roundtrip",40,1360,3.50,Wildflowers/Meadows|Wildlife|Waterfalls|Old growth|Good for kids|Dogs allowed on leash|Rivers,"A very short trail rewards visitors with views of a lovely waterfall, accessible in the early season. Look for trillium along the trail in spring, and enjoy the sounds of rushing water year-round.",roundtrip,0.6,South Cascades
Cherry Creek Falls,Central Cascades -- Stevens Pass - West,"5.0 miles, roundtrip",450,705,3.65,Dogs allowed on leash|Good for kids,"Hike along old logging roads to a 25-foot tall waterfall on Cherry Creek just outside of Duvall. Note that access to this area is part of an agreement with nearby homeowners, and part of the trail is on private land, so please remain on the main path, observe leash laws and keep noise to a minimum as a courtesy to homeowners along trail. There are no toilets at the trailhead. Please plan ahead.",roundtrip,5,Central Cascades
Capitol State Forest - Capitol Peak,Olympic Peninsula -- Olympia,"9.0 miles, roundtrip",1300,2659,3.38,Mountain views|Summits,There are many different trails that lead to the Capitol Peak in the Capitol State Forest.,roundtrip,9,Olympic Peninsula
Burnt Bridge Creek Greenway Trail,Southwest Washington -- Vancouver Area,"16.2 miles, roundtrip",200,310,4.00,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage|Rivers,"This pleasant Vancouver trail follows Burnt Bridge Creek through a variety of landscapes, including open grasslands, wetlands, and forests. Nature lovers use the trail to watch waterfowl, listen to song birds, and perhaps spot a coyote or deer. The eight-mile greenbelt has multiple access points, allowing this hard-surfaced trail to be conveniently divided into sections.",roundtrip,16.2,Southwest Washington
Buckhorn Mountain,Olympic Peninsula -- Hood Canal,"13.5 miles, roundtrip",988,6988,4.80,Wildflowers/Meadows|Mountain views|Wildlife|Summits,"A tough climb on loose, small rock at a very steep grade offering views from the Strait of Juan de Fuca to Glacier Peak, Mount Rainier and The Brothers. Route finding experience required.",roundtrip,13.5,Olympic Peninsula
Camano Island State Park,Puget Sound and Islands -- Bellingham Area,"2.6 miles, roundtrip",200,200,2.80,Dogs allowed on leash|Good for kids|Coast,"A fine little park with beach access, camping, a boat launch and trails. A popular park in the summer, this is a great place for a quiet off-season hike. On this loop trail, there are views, a forest walk, birding and beachcombing.",roundtrip,2.6,Puget Sound and Islands
Cama Beach Historical State Park,Puget Sound and Islands -- Bellingham Area,"3.5 miles, roundtrip",250,275,4.00,Wildflowers/Meadows|Wildlife|Dogs allowed on leash|Old growth|Good for kids|Lakes|Fall foliage|Coast,"Enjoy the easy, forested trail to Cranberry Lake - an extensive wetland created by energetic beavers - plus trails along the high bluffs with views out to Saratoga Passage and Whidbey Island. Optionally, explore a trail to the eastern edge of the park. To finish up, visit the Historic District and vintage beach cabins.",roundtrip,3.5,Puget Sound and Islands
Bullion Basin Snowshoe,Mount Rainier Area -- Chinook Pass - Hwy 410,"4.5 miles, roundtrip",1500,5800,3.75,Mountain views,"",roundtrip,4.5,Mount Rainier Area
Boulder Cave,Mount Rainier Area -- Chinook Pass - Hwy 410,"2.0 miles, roundtrip",300,2700,4.00,Old growth|Good for kids|Wildlife,Boulder Cave formed millions of years from volcanic activity. Today the cave is home to a dwindling population of Pacific western big-eared bats.,roundtrip,2,Mount Rainier Area
De Roux Creek - Gallagher Head Lake,Snoqualmie Region -- Salmon La Sac/Teanaway,"8.0 miles, roundtrip",1900,5600,3.57,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Lakes|Ridges/passes,"Take a trip through the fragrant Teanaway forest, along a burbling creek, and up to a large lake, where equestrians, ORVers, mountain bikers, and hikers can all enjoy the majestic scenery.",roundtrip,8,Snoqualmie Region
Bullitt Fireplace Trail,Issaquah Alps -- Squak Mountain,"4.0 miles, roundtrip",1100,1830,2.91,Dogs allowed on leash|Old growth|Good for kids|Wildlife|Fall foliage,"Hike a two-mile forest trail on the north side of Squak Mountain to reach the site of a former cabin owned by the Bullitt family. Only the massive fireplace and the foundation remain today. Optionally, extend your hike to Central Peak, the highest point on Squak Mountain (no view,) and make it an interesting loop by returning via the Old Griz and East Side Trails.",roundtrip,4,Issaquah Alps
Cairn Hill,Central Cascades -- Blewett Pass,"5.0 miles, roundtrip",850,4745,0.00,Mountain views|Summits|Ridges/passes,"Just three miles west of Blewett Pass, Cairn Hill is one of two popular summits in the area. Despite its relatively low elevation in comparison to the surrounding peaks of Diamond Head and the Teanaway, Cairn Hill affords hikers who venture up it beautiful panoramas of the surrounding peaks.",roundtrip,5,Central Cascades
Bumping Lake,Mount Rainier Area -- Chinook Pass - Hwy 410,"9.0 miles, roundtrip",300,3700,3.17,Wildflowers/Meadows|Wildlife|Established campsites|Dogs allowed on leash|Old growth|Lakes|Fall foliage,A gentle hike through stands of mature larches and other conifers along the shores of Bumping Lake. The trail is also a good alternate route to Swamp Lake Trail #970 or to Pacific Crest Trail #2000 when a ford of the Bumping River is too hazardous.,roundtrip,9,Mount Rainier Area
Butte Camp,South Cascades -- Mount St. Helens,"8.0 miles, roundtrip",1697,4750,3.78,Wildflowers/Meadows|Mountain views|Wildlife|Established campsites|Ridges/passes|Dogs not allowed|Good for kids,"Visit this gentle trail climbing through old lava flows, lodgepole pine trees, meadows of wildflowers and huckleberries with breathtaking views of Mount St. Helens. A creek at Lower Butte Camp offers a good opportunity for camping and plenty of day hike potential on to the Loowit Trail.",roundtrip,8,South Cascades
Burley Mountain,South Cascades -- White Pass/Cowlitz River Valley,"7.0 miles, roundtrip",400,5304,3.17,Mountain views|Summits|Good for kids,"One of just three remaining lookouts on the Gifford Pinchot National Forest, Burley Mountain Lookout was built in 1934 and is still active today. This route utilizes nature trails, a forest road, and a short hiking trail to access this unique site just south of Highway 12.",roundtrip,7,South Cascades
Bus Trail,Issaquah Alps -- Tiger Mountain,"0.7 miles, roundtrip",200,500,3.25,Good for kids,"See history in your backyard. Tiger Mountain is full of historic trails, but the Bus Trail gets its name from an old bus that lies on its side along the trail. Kids will love exploring the area, and the Bus Trail can be used to make a huge variety of loops on the north side of Tiger Mountain.",roundtrip,0.7,Issaquah Alps
Camano Ridge Trail,Puget Sound and Islands -- Bellingham Area,5.0 miles of trails,250,500,3.50,Wildflowers/Meadows|Dogs allowed on leash|Good for kids|Fall foliage,"The trail at Camano Forest Preserve winds through a typical evergreen forest with plenty of sword ferns, and maple trees that are lovely in autumn. Originally set aside as Camp Lake and managed by the Department of Natural Resources, it is now managed and maintained by the Friends of Camano Island and Island County.",trails,5,Puget Sound and Islands
Bootleg Trail,Issaquah Alps -- Tiger Mountain,"4.6 miles, roundtrip",1300,2200,3.20,,"A trail on Tiger Mountain with loop options to Preston Trail, and Dwight's Way. Also use this trail to access the Tiger Mountain Trail.",roundtrip,4.6,Issaquah Alps
Bunker Hill,Southwest Washington -- Columbia River Gorge - WA,"4.4 miles, roundtrip",1250,2383,3.50,Mountain views|Dogs allowed on leash|Summits,"Getting up Bunker Hill is less of a charge and more of a steady march. The hill, named by early settlers in the valley, used to serve as a fire lookout, and the way to the top is steep and direct. But the fire lookout is gone and the trees have grown up, so with limited views from the summit, it’s better suited to your training regimen than visiting on shore leave. But it’s a great work out, and you can cool down afterwards on the nearby Whistle Punk trail.",roundtrip,4.4,Southwest Washington
Boulder Garden Loop,Snoqualmie Region -- North Bend Area,"2.5 miles, roundtrip",800,1400,3.91,Wildlife|Good for kids|Dogs allowed on leash,"The Boulder Garden Loop offers an opportunity to explore stone giants on a relatively untraveled path, despite its proximity to two of the busiest hiking thoroughfares in the Snoqualmie Pass region. It also is the access route to the Old Mount Si trail, for those who desire a less peopled approach to the Puget Sound region's most well-known hike.",roundtrip,2.5,Snoqualmie Region
Bullion Basin,Mount Rainier Area -- Chinook Pass - Hwy 410,"4.6 miles, roundtrip",1900,6300,3.40,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Fall foliage,A relatively steep and rocky connector trail running between the Crystal Mountain resort area up through Bullion Basin to the Pacific Crest Trail with mountain and meadow views.,roundtrip,4.6,Mount Rainier Area
Cable Line Trail,Issaquah Alps -- Tiger Mountain,"3.0 miles, roundtrip",2022,2522,3.81,Dogs allowed on leash,"What a workout! The Cable Line Trail on Tiger Mountain is not for the weak of heart, nor the weak of knees. A steep, slippery incline awaits you here, climbing over 2,000 feet in just 1.5 miles to the summit of West Tiger 3.",roundtrip,3,Issaquah Alps
Bird Creek Meadows,South Cascades -- Mount Adams Area,"3.0 miles, roundtrip",500,6085,4.14,Wildflowers/Meadows|Good for kids|Lakes,"Bird Creek Meadows is a short, easy crowd pleaser. Known for its abundant wildflower meadows, views of Mount Adams, Mount Hood and the Hellroaring Canyon, and little creeks, lakes and waterfalls, the trail provides a nice three mile loop for hikers.",roundtrip,3,South Cascades
Blue Lake via Cultus Creek,South Cascades -- Mount Adams Area,"13.0 miles, roundtrip",700,5200,2.17,Mountain views|Dogs allowed on leash|Lakes|Ridges/passes,"As the huckleberries ripen and the cooler weather chases the bugs away, you can experience peace and serenity in the wild at this beautiful lake.",roundtrip,13,South Cascades
Blue Lake and Sheep Canyon via South Fork Toutle,South Cascades -- Mount St. Helens,"4.5 miles, roundtrip",1000,4700,3.25,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Old growth|Lakes,Take a short dayhike in a ghost forest to a beautiful babbling brook on the southwest side of Mount St. Helens.,roundtrip,4.5,South Cascades
Bluff Mountain,Southwest Washington -- Lewis River Region,"12.0 miles, roundtrip",890,4390,3.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes|Summits|Fall foliage,"Hiking across bare talus slopes, past rocky outcrops and fields of wildflowers while admiring sweeping vistas you would think you're at 7,000 feet. But the alpine-like setting at this mid-elevation is the result of period of wildfires that swept the area in the early 1900's.",roundtrip,12,Southwest Washington
Big Four Ice Caves Snowshoe,North Cascades -- Mountain Loop Highway,"7.0 miles, roundtrip",250,1800,3.89,Mountain views|Old growth|Dogs allowed on leash|Rivers,"While this is a popular location to snowshoe in wintertime, there is high risk in winter from avalanches off the mountain that feeds these caves. Keep to the main trail, and do not venture onto the snowfields at the end of the route.",roundtrip,7,North Cascades
Big Creek Falls,Southwest Washington -- Lewis River Region,"1.5 miles, roundtrip",300,1900,2.67,Old growth|Good for kids|Waterfalls,The Big Creek Falls trail is closed as of spring 2015,roundtrip,1.5,Southwest Washington
Bluff Lake,South Cascades -- Goat Rocks,"3.0 miles, roundtrip",1000,3840,2.50,Good for kids|Lakes,"This forested trail to a small, secluded lake uniquely set on a ridge with a few campsites provides an easy day hike or backpack trip. Unfortunately, Purcell Creek washed out the access road 1.3 miles before the trailhead, making it a bit more difficult for children.",roundtrip,3,South Cascades
Blowout Mountain,Central Washington -- Yakima,"4.6 miles, roundtrip",650,5450,3.00,Ridges/passes|Wildlife|Mountain views|Dogs allowed on leash|Old growth,This trail takes you to Blowout Mountain through a forested area. The views from the mountain are spectacular.,roundtrip,4.6,Central Washington
